theta	Média	Incerteza
0	1,6	0,036458107
10	1,37	0,02368277
20	0,91	0,011428666
30	0,25	0,014667297
40	-0,47	0,014667297
50	-1,12	0,027299641
60	-1,64	0,01568
70	-1,77	0,065476909
80	-1,44	0,026586734
90	-1,34	0,037497008
100	-1,38	0,026002338
110	-1,44	0,069185501
120	-1,41	0,074531561
130	-1,58	0,063993325
140	-1,47	0,048249452
150	-1,63	0,091387299
160	-1,6	0,114856669
