y (mm)	Média	Incerteza
200	0,75	0,01
180	0,76	0,02
160	0,75	0,01
140	0,75	0,03
120	0,75	0,03
100	0,77	0,05
80	0,71	0,05
70	0,7	0,08
60	0,74	0,04
50	0,63	0,08
40	0,62	0,08
30	0,56	0,06
20	0,65	0,10
10	0,67	0,09
0	0,51	0,11
-10	0,67	0,09
-20	0,65	0,10
-30	0,56	0,06
-40	0,62	0,08
-50	0,63	0,08
-60	0,74	0,04
-70	0,7	0,08
-80	0,71	0,05
-100	0,77	0,05
-120	0,75	0,03
-140	0,75	0,03
-160	0,75	0,01
-180	0,76	0,02
-200	0,75	0,01
