theta	Média	Incerteza
0	0,87	0,016860558
10	0,83	0,01
20	0,65	0,022347438
30	0,35	0,013001169
40	0	0,01
50	-0,37	0,011428666
60	-0,68	0,016860558
70	-0,84	0,035061546
80	-0,87	0,037188385
90	-0,75	0,057344656
100	-0,69	0,030616179
110	-0,69	0,033721115
120	-0,67	0,03850789
130	-0,71	0,039003508
140	-0,76	0,044951992
150	-0,79	0,038904889
160	-0,74	0,052956284
170	-0,9	0,05088456
180	-0,93	0,07110236
