y (mm)	Média	Incerteza
200	0,09	0,02
180	0,09	0,01
160	0,1	0,01
140	0,07	0,01
120	0,05	0,02
100	0,01	0,02
80	-0,1	0,04
70	-0,09	0,03
60	-0,15	0,04
50	-0,19	0,03
40	-0,26	0,05
30	-0,35	0,07
20	-0,34	0,10
10	-0,39	0,06
0	-0,39	0,07
-10	-0,39	0,06
-20	-0,34	0,10
-30	-0,35	0,07
-40	-0,26	0,05
-50	-0,19	0,03
-60	-0,15	0,04
-70	-0,09	0,03
-80	-0,1	0,04
-100	0,01	0,02
-120	0,05	0,02
-140	0,07	0,01
-160	0,1	0,01
-180	0,09	0,01
-200	0,09	0,01568

